University_category,Department,Gender,Age,YearofStudy,CGPA,credits_completed,study_strategy,how_many_courses_retaken,year1,year2,year3,year4,reason_for_retaking_course_01,reason_for_retaking_course_02,reason_for_retaking_course_03,reason_for_retaking_course_04,reason_for_retaking_course_05,reason_for_retaking_course_06,subject_area,attendance,study_time,co-curricular_activities,co-curricular_activities_time,co-curricular_activities_stress,involvedInStudentPolitics,studentPoliticsTime,studyHabits,formativeAssessmentsMarks,midtermExamsMarks,finalExamsMarks,confidence,familyResponsibilities,part-timeJob,part-timeJob_time,stressAcademicJourney,livingArrangement,supportAcademicChallenges,studyEnvironment,helpFromClassmates,engaged_classroom_discussions,time_management_skills,ever_retaken
Private,Engineering and Technology ,Female,20,1st Year 2nd Semester,3,3.5,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,8-12h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,8-12h,Yes,University dorm,Yes,4,Yes,Always,4,No
National,Social Sciences,Male,22,2nd Year 1st Semester,2.67,60,Only Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Social Sciences,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,With family,Yes,2,Yes,Rarely,2,Yes
National,Sciences,Female,23,2nd Year 2nd Semester,2.88,80,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,more than 12,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,With family,Yes,2,Yes,Rarely,2,Yes
Public,Sciences,Male,23,3rd Year 1st Semester,3.25,100,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,more than 12,Yes,more than 12,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,Yes
Public,Business Studies,Male,21,1st Year 2nd Semester,2.67,40,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Business,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Private,Engineering and Technology ,Female,25,4th Year 2nd Semester,3.45,160,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,more than 12,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,No
Private,Sciences,Male,22,2nd Year 2nd Semester,2.78,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,more than 12,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,2,Yes
Public,Business Studies,Male,21,2nd Year 1st Semester,2.92,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Business,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Public,Social Sciences,Female,20,1st Year 1st Semester,3.3,20,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,Social Sciences,70-80%,more than 12,Yes,3-7h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Public,Engineering and Technology ,Male,24,3rd Year 1st Semester,2.56,120,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,0,0,Family problems,IT,Below 50%,more than 12,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Private,Business Studies,Female,22,2nd Year 1st Semester,3.15,60,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,Business,60-70%,more than 12,Yes,more than 12,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Public,Sciences,Male,22,2nd Year 2nd Semester,2.78,2,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,Math,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,70-80%,60-70%,60-70%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
National,Sciences,Female,23,3rd Year 1st Semester,3,100,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,50-60%,3-7h,Yes,1-3h,Yes,Yes,0,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,University dorm,Yes,4,Yes,Always,3,Yes
Public,Sciences,Female,22,2nd Year 2nd Semester,3.09,80,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,Math,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Irregular,60-70%,50-60%,60-70%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
National,Sciences,Female,24,3rd Year 2nd Semester,2.78,120,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Regular,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,2,Yes,Sometimes,2,Yes
Public,Engineering and Technology ,Male,22,3rd Year 1st Semester,3.1,100,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,60-70%,more than 12,Yes,more than 12,Maybe,No,0,Regular,60-70%,60-70%,60-70%,3,No,Not Applicable,0,Yes,University dorm,Yes,3,Yes,Sometimes,3,No
National,Sciences,Female,21,2nd Year 1st Semester,2.66,60,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Private,Engineering and Technology ,Female,25,4th Year 2nd Semester,3.45,160,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,8-12h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Public,Sciences,Female,22,2nd Year 2nd Semester,2.76,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Business Studies,Female,21,2nd Year 1st Semester,2.45,60,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,Business,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,Below 50%,Below 50%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
National,Social Sciences,Female,24,3rd Year 2nd Semester,2.67,120,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,Lack of preparation,0,0,0,0,Family problems,Social Sciences,50-60%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Sciences,Female,21,2nd Year 1st Semester,2.89,60,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Life Sciences,Male,24,4th Year 1st Semester,3.1,140,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,8-12h,Yes,more than 12,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,Yes
Public,Sciences,Male,23,3rd Year 1st Semester,2.88,100,Group Study,2,Yes,Yes,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,1-3h,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
National,Sciences,Female,22,2nd Year 2nd Semester,2.79,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,0,Maybe,Yes,more than 12,Irregular,50-60%,50-60%,50-60%,2,No,Not Applicable,1-3h,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Sciences,Female,24,3rd Year 2nd Semester,3.22,140,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,50-60%,3-7h,Yes,1-3h,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Private,Life Sciences,Male,22,3rd Year 1st Semester,2.69,100,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,3-7h,Yes,3-7h,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Sciences,Female,21,2nd Year 1st Semester,3.15,60,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,8-12h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,No,Not Applicable,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,No
Public,Business Studies,Male,24,3rd Year 1st Semester,2.69,100,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Business,Below 50%,1-3h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,3,Yes
Private,Engineering and Technology ,Male,23,3rd Year 1st Semester,3.45,100,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,8-12h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,No
Public,Sciences,Female,21,2nd Year 1st Semester,2.67,60,Group Study,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Business Studies,Male,22,2nd Year 2nd Semester,3.33,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,Business,60-70%,more than 12,Yes,8-12h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,No
Public,Sciences,Female,23,3rd Year 2nd Semester,2.67,120,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,Social Sciences,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,3-7h,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Social Sciences,Male,21,1st Year 2nd Semester,2.88,40,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Social Sciences,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Rarely,2,Yes
Public,Sciences,Male,22,2nd Year 2nd Semester,2.67,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,Math,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Private,Sciences,Female,24,4th Year 1st Semester,3.05,140,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,Math,60-70%,8-12h,Yes,3-7h,Maybe,No,0,Irregular,60-70%,60-70%,60-70%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,No
Public,Engineering and Technology ,Male,21,2nd Year 1st Semester,2.88,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,IT,50-60%,8-12h,Yes,more than 12,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Sciences,Male,22,2nd Year 2nd Semester,2.69,80,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Sciences,Female,24,3rd Year 2nd Semester,3,120,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,University dorm,Yes,3,Yes,Sometimes,3,Yes
Private,Engineering and Technology,Male,23,3rd Year 1st Semester,3.45,100,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,3-7h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,8-12h,Yes,With family,Yes,4,Yes,Always,4,No
National,Sciences,Female,21,2nd Year 1st Semester,2.76,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,University dorm,Yes,2,Yes,Rarely,2,Yes
Public,Engineering and Technology,Male,23,3rd Year 1st Semester,2.66,100,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,IT,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Sciences,Male,24,3rd Year 2nd Semester,2.55,120,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Private,Engineering and Technology,Female,22,2nd Year 2nd Semester,3.5,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,3-7h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,8-12h,Yes,University dorm,Yes,4,Yes,Always,4,No
Public,Sciences,Female,20,1st Year 2nd Semester,2.5,40,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,Math,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,1-3h,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
National,Sciences,Male,23,3rd Year 1st Semester,2.75,100,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Engineering and Technology,Female,20,1st Year 2nd Semester,3.35,40,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,8-12h,Yes,3-7h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Private,Engineering and Technology,Male,25,4th Year 2nd Semester,3,160,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,IT,60-70%,8-12h,Yes,3-7h,Maybe,No,0,Irregular,60-70%,60-70%,60-70%,3,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Public,Sciences,Male,23,3rd Year 1st Semester,2.72,100,Group Study,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,50-60%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,3-7h,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Sciences,Female,22,2nd Year 1st Semester,3.25,60,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,Yes,3-7h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Public,Engineering and Technology ,Female,24,4th Year 1st Semester,2.69,140,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,IT,50-60%,8-12h,Yes,8-12h,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,Yes,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Sciences,Male,23,3rd Year 2nd Semester,2.89,120,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,0,0,Family problems,Math,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,3-7h,Yes,University dorm,Yes,2,Yes,Sometimes,2,Yes
Private,Life Sciences,Female,22,2nd Year 2nd Semester,3,2,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,3-7h,Maybe,No,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,1-3h,Yes,University dorm,Yes,2,Yes,Sometimes,2,Yes
National,Social Sciences,Female,21,2nd Year 1st Semester,2.78,60,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,Social Sciences,Below 50%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Engineering and Technology,Male,23,3rd Year 1st Semester,3.35,100,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,3-7h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,2,Yes,Always,4,No
National,Business Studies,Female,24,4th Year 1st Semester,2.67,140,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,Business,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,Yes,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Private,Life Sciences,Female,24,3rd Year 2nd Semester,2.45,120,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,University dorm,Yes,2,Yes,Rarely,2,Yes
Public,Sciences,Female,22,2nd Year 2nd Semester,2.67,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,Math,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
National,Social Sciences,Male,24,4th Year 1st Semester,2.89,140,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,Social Sciences,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Business Studies,Male,23,3rd Year 1st Semester,2.89,100,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,Poor time management,0,0,Business,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Private,Engineering and Technology,Male,23,2nd Year 2nd Semester,3.45,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,more than 12,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,8-12h,Yes,University dorm,Yes,4,Yes,Always,4,No
Public,Sciences,Female,20,1st Year 2nd Semester,3.08,40,Lecture Materials and Self-Sourced Resources,1,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,8-12h,Yes,8-12h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,3,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Public,Sciences,Male,24,4th Year 1st Semester,2.69,140,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,Lack of preparation,0,0,0,Health issues,Family problems,Math,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
National,Sciences,Female,20,2nd Year 1st Semester,2.9,60,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Sciences,Female,23,3rd Year 1st Semester,2.45,100,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,With family,Yes,2,Yes,Rarely,2,Yes
Public,Life Sciences,Male,24,3rd Year 2nd Semester,3.25,120,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,Yes,3-7h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Always,3,No
National,Social Sciences,Female,25,4th Year 2nd Semester,2.9,160,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,Lack of preparation,0,Personal issues,Poor time management,0,Family problems,Social Sciences,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,Yes,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,2,Yes
Private,Sciences,Male,22,2nd Year 2nd Semester,2.89,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,Math,50-60%,8-12h,Yes,more than 12,Maybe,No,0,Irregular,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,3,Yes
Public,Social Sciences,Male,23,3rd Year 2nd Semester,3.25,120,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,Social Sciences,60-70%,more than 12,Yes,more than 12,Maybe,No,0,Regular,60-70%,60-70%,60-70%,3,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,Yes
National,Sciences,Female,22,2nd Year 2nd Semester,2.84,80,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Sciences,Male,21,1st Year 2nd Semester,3.22,60,Group Study,0,No,No,No,No,0,Other,0,0,0,0,Math,70-80%,more than 12,Yes,8-12h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,No
